Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1675714488.1177056,43,1675714488,117277145,,42.33890833333333,-71.08822833333333,34.6,327974.9962624517,4689517.804806333,19,T
1675714489.1168866,44,1675714489,116410732,,42.33890833333333,-71.08822833333333,34.6,327974.9962624517,4689517.804806333,19,T
1675714490.11599,45,1675714490,115512132,,42.33890833333333,-71.08822666666667,34.6,327975.13356559834,4689517.80143442,19,T
1675714491.1165037,46,1675714491,116115570,,42.33890833333333,-71.08822666666667,34.6,327975.13356559834,4689517.80143442,19,T
1675714492.1157496,47,1675714492,115434408,,42.33890833333333,-71.08822666666667,34.6,327975.13356559834,4689517.80143442,19,T
1675714493.118347,48,1675714493,117959022,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714494.1161501,49,1675714494,115732669,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714495.117617,50,1675714495,117169141,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714496.118198,51,1675714496,117826223,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714497.1164622,52,1675714497,115974903,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714498.1163309,53,1675714498,115889072,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714499.1171439,54,1675714499,116691350,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714500.1161757,55,1675714500,115769863,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714501.1189272,56,1675714501,118466377,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714502.1161966,57,1675714502,115719079,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714503.1188405,58,1675714503,118401050,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714504.117972,59,1675714504,117552995,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714505.1183138,60,1675714505,117859363,,42.33890833333333,-71.08822666666667,34.5,327975.13356559834,4689517.80143442,19,T
1675714506.117579,61,1675714506,117166757,,42.338903333333334,-71.08822333333333,34.4,327975.3945369411,4689517.23947859,19,T
1675714507.1173775,62,1675714507,116909980,,42.338899999999995,-71.08822,34.2,327975.6600533015,4689516.862593444,19,T
1675714508.1187575,63,1675714508,118300676,,42.338898333333326,-71.08822166666667,34.2,327975.518205154,4689516.680894674,19,T
1675714509.1176853,64,1675714509,117306947,,42.338898333333326,-71.08822166666667,34.2,327975.518205154,4689516.680894674,19,T
1675714510.117645,65,1675714510,117258071,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714511.118997,66,1675714511,118516206,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714512.1161604,67,1675714512,115749835,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714513.150304,68,1675714513,149873971,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714514.116854,69,1675714514,116327285,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714515.1181476,70,1675714515,117711544,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
1675714516.1174963,71,1675714516,117080211,,42.338898333333326,-71.08822,34.2,327975.65550832445,4689516.677522773,19,T
