Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,latitude,longitude,altitude,utm_easting,utm_northing,zone,letter
1675714029.6298344,1,1675714029,629374504,,42.338903333333334,-71.088465,56.6,327955.48557883804,4689517.728433156,19,T
1675714030.6297646,2,1675714030,629348039,,42.338901666666665,-71.088465,56.8,327955.48103332694,4689517.543362483,19,T
1675714031.556941,3,1675714031,556301832,,42.338901666666665,-71.088465,56.2,327955.48103332694,4689517.543362483,19,T
1675714032.0295842,4,1675714032,29190063,,42.338898333333326,-71.08847,55.0,327955.0600327919,4689517.183338034,19,T
1675714033.030101,5,1675714033,29639720,,42.338899999999995,-71.08847,54.2,327955.0645783136,4689517.368408708,19,T
1675714034.0279207,6,1675714034,27548313,,42.338899999999995,-71.08847,54.2,327955.0645783136,4689517.368408708,19,T
1675714035.030198,7,1675714035,29616594,,42.338899999999995,-71.08847,54.1,327955.0645783136,4689517.368408708,19,T
1675714036.0276659,8,1675714036,27215957,,42.338899999999995,-71.08847,54.1,327955.0645783136,4689517.368408708,19,T
1675714037.027984,9,1675714037,27571916,,42.338899999999995,-71.08847,54.1,327955.0645783136,4689517.368408708,19,T
1675714038.0276103,10,1675714038,27209281,,42.338899999999995,-71.08847166666666,54.1,327954.9272751468,4689517.371781013,19,T
1675714039.043038,11,1675714039,42500257,,42.338899999999995,-71.08847166666666,54.1,327954.9272751468,4689517.371781013,19,T
1675714040.0280192,12,1675714040,27522325,,42.338899999999995,-71.08847166666666,54.1,327954.9272751468,4689517.371781013,19,T
1675714041.028066,13,1675714041,27636766,,42.338899999999995,-71.08847166666666,54.1,327954.9272751468,4689517.371781013,19,T
1675714042.026948,14,1675714042,26507854,,42.338899999999995,-71.08847166666666,54.0,327954.9272751468,4689517.371781013,19,T
1675714043.0251393,15,1675714043,24709463,,42.338899999999995,-71.08847166666666,54.0,327954.9272751468,4689517.371781013,19,T
1675714044.0258753,16,1675714044,25485515,,42.338899999999995,-71.08847166666666,54.0,327954.9272751468,4689517.371781013,19,T
1675714045.0305147,17,1675714045,30065298,,42.338898333333326,-71.08847166666666,54.0,327954.9227296215,4689517.186710339,19,T
1675714046.0268207,18,1675714046,26390790,,42.338898333333326,-71.08847166666666,54.0,327954.9227296215,4689517.186710339,19,T
1675714047.0270991,19,1675714047,26450872,,42.338898333333326,-71.08847166666666,54.0,327954.9227296215,4689517.186710339,19,T
1675714048.0266466,20,1675714048,26183605,,42.338898333333326,-71.08847166666666,54.0,327954.9227296215,4689517.186710339,19,T
1675714049.0238662,21,1675714049,23362636,,42.338898333333326,-71.08847166666666,54.0,327954.9227296215,4689517.186710339,19,T
1675714050.0243995,22,1675714050,23968219,,42.338898333333326,-71.08847166666666,53.9,327954.9227296215,4689517.186710339,19,T
1675714051.0433323,23,1675714051,42877912,,42.338898333333326,-71.08847166666666,53.9,327954.9227296215,4689517.186710339,19,T
1675714052.0283391,24,1675714052,27900695,,42.338898333333326,-71.08847166666666,53.9,327954.9227296215,4689517.186710339,19,T
1675714053.027896,25,1675714053,27384042,,42.338898333333326,-71.08847166666666,53.9,327954.9227296215,4689517.186710339,19,T
1675714054.02686,26,1675714054,26404380,,42.338898333333326,-71.08847166666666,53.9,327954.9227296215,4689517.186710339,19,T
1675714055.0274863,27,1675714055,27062177,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714056.0282362,28,1675714056,27806282,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714057.0289764,29,1675714057,28393268,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714058.0270271,30,1675714058,26589870,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714059.026451,31,1675714059,25996685,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714060.0245078,32,1675714060,23935794,,42.338898333333326,-71.08847333333333,53.9,327954.78542644903,4689517.190082647,19,T
1675714061.022056,33,1675714061,21695375,,42.338898333333326,-71.08847333333333,53.8,327954.78542644903,4689517.190082647,19,T
1675714062.0239172,34,1675714062,23492097,,42.338898333333326,-71.08847333333333,53.8,327954.78542644903,4689517.190082647,19,T
1675714063.0221674,35,1675714063,21760463,,42.338898333333326,-71.08847333333333,53.8,327954.78542644903,4689517.190082647,19,T
1675714064.02265,36,1675714064,22290229,,42.338898333333326,-71.08847333333333,53.8,327954.78542644903,4689517.190082647,19,T
1675714065.0218055,37,1675714065,21382570,,42.338898333333326,-71.08847333333333,53.8,327954.78542644903,4689517.190082647,19,T
1675714066.0199974,38,1675714066,19514322,,42.338898333333326,-71.088475,53.8,327954.6481232764,4689517.193454958,19,T
1675714067.0200465,39,1675714067,19648075,,42.338898333333326,-71.088475,53.8,327954.6481232764,4689517.193454958,19,T
1675714068.0200198,40,1675714068,19532442,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714069.0203102,41,1675714069,19781589,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714070.0208142,42,1675714070,20277261,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714071.0197806,43,1675714071,19275188,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714072.017158,44,1675714072,16712665,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714073.0131218,45,1675714073,12688159,,42.338898333333326,-71.088475,53.7,327954.6481232764,4689517.193454958,19,T
1675714074.0188265,46,1675714074,18431186,,42.33889666666667,-71.088475,53.7,327954.6435777441,4689517.0083842855,19,T
1675714075.0328848,47,1675714075,32449007,,42.33889666666667,-71.088475,53.8,327954.6435777441,4689517.0083842855,19,T
1675714076.0183315,48,1675714076,17907142,,42.33889666666667,-71.088475,53.8,327954.6435777441,4689517.0083842855,19,T
