Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1680124094.3127139,0,76094,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124095.3128216,0,76095,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124096.311731,0,76096,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124097.3141117,0,76097,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124098.305008,0,76098,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124099.3064842,0,76099,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124100.3115194,0,76100,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124101.3108723,0,76101,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124102.311244,0,76102,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124103.305229,0,76103,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124104.3102772,0,76104,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124105.311953,0,76105,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124106.3106482,0,76106,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124107.3124075,0,76107,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124108.3104818,0,76108,0,GPS1_FRAME,42.409855,8.742693333333333,16.9,1.8,478827.7573926627,4695315.650118859,,32,T
1680124109.3108861,0,76109,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124110.3130949,0,76110,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124111.3124673,0,76111,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124112.3111455,0,76112,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124113.3125398,0,76113,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124114.3148057,0,76114,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124115.3323367,0,76115,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124116.3065805,0,76116,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124117.307339,0,76117,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124118.328717,0,76118,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124119.312918,0,76119,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124120.3298004,0,76120,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124121.3147156,0,76121,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.2,478827.7568321519,4695315.4650573265,,32,T
1680124122.3119535,0,76122,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.8,478827.7568321519,4695315.4650573265,,32,T
1680124123.3304389,0,76123,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.2,478827.7568321519,4695315.4650573265,,32,T
1680124124.311656,0,76124,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.2,478827.7568321519,4695315.4650573265,,32,T
1680124125.3287437,0,76125,0,GPS1_FRAME,42.40985333333333,8.742693333333333,16.9,1.2,478827.7568321519,4695315.4650573265,,32,T
1680124126.3148644,0,76126,0,GPS1_FRAME,42.409848333333336,8.742691666666666,16.9,1.2,478827.61801038584,4695314.9102881,,32,T
1680124127.3137312,0,76127,0,GPS1_FRAME,42.409843333333335,8.742691666666666,16.8,1.2,478827.6163288428,4695314.355103505,,32,T
1680124128.3240993,0,76128,0,GPS1_FRAME,42.40983833333333,8.74269,16.9,1.2,478827.47750704235,4695313.800334282,,32,T
1680124129.30987,0,76129,0,GPS1_FRAME,42.40983166666667,8.74269,17.0,1.2,478827.47526497097,4695313.060088156,,32,T
1680124130.3076854,0,76130,0,GPS1_FRAME,42.409825,8.742693333333333,17.1,1.2,478827.7473034712,4695312.319011291,,32,T
1680124131.3236682,0,76131,0,GPS1_FRAME,42.409821666666666,8.742695,17.3,1.2,478827.8833227442,4695311.948472861,,32,T
