Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,raw,imu.header.seq,imu.header.stamp.secs,imu.header.stamp.nsecs,imu.header.frame_id,imu.orientation.x,imu.orientation.y,imu.orientation.z,imu.orientation.w,imu.orientation_covariance,imu.angular_velocity.x,imu.angular_velocity.y,imu.angular_velocity.z,imu.angular_velocity_covariance,imu.linear_acceleration.x,imu.linear_acceleration.y,imu.linear_acceleration.z,imu.linear_acceleration_covariance,mag_field.header.seq,mag_field.header.stamp.secs,mag_field.header.stamp.nsecs,mag_field.header.frame_id,mag_field.magnetic_field.x,mag_field.magnetic_field.y,mag_field.magnetic_field.z,mag_field.magnetic_field_covariance
1677800806.8545442,4016,1677800806,815315961,imu1_frame,"$VNYMR,+141.504,+020.285,-012.401,-00.3281,-00.0038,+00.3156,+00.529,+06.393,-08.632,-00.011930,-05.633592,+05.568705*67",0,0,0,,-0.20032990564336228,-0.04266481808638308,0.9301802988700442,0.3046510360996869,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.01193,-5.633592,5.568705,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.529,6.393,-8.632,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3281,-0.0038,0.3156,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.854571,4017,1677800806,838805437,imu1_frame,"$VNYMR,+152.434,+015.999,-014.373,-00.2735,+00.0003,+00.3690,-09.230,+03.778,-21.685,-05.468339,-00.441532,+06.921969*6A",0,0,0,,-0.1636097961149317,-0.08742015760837413,0.9583468519752527,0.21716551744713186,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-5.468339,-0.441532,6.921969,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-9.23,3.778,-21.685,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2735,0.0003,0.369,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.8974624,4018,1677800806,864208698,imu1_frame,"$VNYMR,+155.898,+021.865,-008.586,-00.3002,+00.0462,+00.3422,+19.941,-07.210,-09.045,+14.673281,+04.804976,-02.791551*65",0,0,0,,-0.20029764619840598,-0.032393629047803206,0.9604833541865941,0.19053407058833624,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",14.673281,4.804976,-2.791551,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",19.941,-7.21,-9.045,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3002,0.0462,0.3422,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.8974888,4019,1677800806,889646530,imu1_frame,"$VNYMR,+150.095,+026.669,+010.154,-00.3422,+00.1390,+00.2652,-04.034,+38.833,-09.523,+12.178655,+02.533534,+03.712275*67",0,0,0,,-0.19973455418838854,0.142467752079289,0.9311386547154445,0.26979594729230494,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",12.178655,2.533534,3.712275,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-4.034,38.833,-9.523,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.3422,0.139,0.2652,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.9409685,4020,1677800806,915003538,imu1_frame,"$VNYMR,+162.277,+026.773,+027.897,-00.3210,+00.2666,+00.1966,+02.156,-13.107,-09.072,+02.132536,+03.183509,+05.664636*6A",0,0,0,,-0.1858858686450872,0.2663143436591848,0.9242777601002719,0.20058348980776944,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.132536,3.183509,5.664636,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.156,-13.107,-9.072,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.321,0.2666,0.1966,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.942621,4021,1677800806,940373659,imu1_frame,"$VNYMR,+169.380,+028.670,+034.009,-00.3120,+00.3097,+00.1430,+00.858,-17.492,+05.550,+02.303257,+01.274358,+01.783406*6F",0,0,0,,-0.2095289532667077,0.3040368642208803,0.9158307117760885,0.1578395080624449,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.303257,1.274358,1.783406,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0.858,-17.492,5.55,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.312,0.3097,0.143,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800806.9862714,4022,1677800806,965742111,imu1_frame,"$VNYMR,+171.354,+027.447,+035.393,-00.2985,+00.3062,+00.1543,+02.708,-12.957,-08.138,-00.515332,+00.143633,+01.529811*67",0,0,0,,-0.20310838046104132,0.31149328272232196,0.9174139246316121,0.1416707856171741,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.515332,0.143633,1.529811,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",2.708,-12.957,-8.138,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2985,0.3062,0.1543,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800807.0293016,4023,1677800806,989253044,imu1_frame,"$VNYMR,+173.620,+026.363,+034.625,-00.2849,+00.3167,+00.1475,-00.432,-07.686,-10.284,-01.641669,-00.162299,+01.293329*60",0,0,0,,-0.20124480030385078,0.3014083690683113,0.9243255836352732,0.119481131747048,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.641669,-0.162299,1.293329,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.432,-7.686,-10.284,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2849,0.3167,0.1475,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800807.0293264,4024,1677800807,14702081,imu1_frame,"$VNYMR,+173.926,+024.780,+032.315,-00.2738,+00.3073,+00.1742,+01.461,-04.519,-13.281,-01.686858,-01.303587,+00.528199*6D",0,0,0,,-0.19140012283945243,0.28233460241663394,0.9336490659813169,0.10932788687017814,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-1.686858,-1.303587,0.528199,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",1.461,-4.519,-13.281,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2738,0.3073,0.1742,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
1677800807.0733056,4025,1677800807,39988994,imu1_frame,"$VNYMR,+173.149,+022.551,+030.228,-00.2651,+00.3086,+00.2057,+03.007,-02.631,-14.049,-00.782783,-01.482898,+00.197695*6E",0,0,0,,-0.17314737599790048,0.2665295582391681,0.9420372072776122,0.10746106678454614,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",-0.782783,-1.482898,0.197695,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",3.007,-2.631,-14.049,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)",0,0,0,,-0.2651,0.3086,0.2057,"(0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0)"
